gene_id	gene_name	gene_type
ENSG00000226756.1	344	lincRNA
ENSG00000226777.6	623	lincRNA
ENSG00000226782.2	260	lincRNA
ENSG00000226791.5	168	lincRNA
ENSG00000226822.1	278	lincRNA
ENSG00000226853.2	309	lincRNA
ENSG00000227017.1	448	lincRNA
ENSG00000227051.5	455	lincRNA
ENSG00000227269.1	270	lincRNA
ENSG00000227359.1	271	lincRNA
ENSG00000227373.4	227	lincRNA
ENSG00000227374.1	183	lincRNA
ENSG00000227388.2	462	lincRNA
ENSG00000227403.1	838	lincRNA
ENSG00000227486.1	758	lincRNA
ENSG00000227502.2	411	lincRNA
ENSG00000227516.1	183	lincRNA
ENSG00000227531.1	268	lincRNA
ENSG00000227740.1	333	lincRNA
ENSG00000227885.1	223	lincRNA
ENSG00000227946.1	1421	lincRNA
ENSG00000228037.1	717	lincRNA
ENSG00000228043.4	210	lincRNA
ENSG00000228106.4	1508	lincRNA
ENSG00000228139.1	202	lincRNA
ENSG00000228223.2	1231	lincRNA
ENSG00000228251.1	250	lincRNA
ENSG00000228261.1	287	lincRNA
ENSG00000228265.4	1134	lincRNA
ENSG00000228327.2	406	lincRNA
ENSG00000228340.4	181	lincRNA
ENSG00000228386.2	327	lincRNA
ENSG00000228423.2	302	lincRNA
ENSG00000228434.1	279	lincRNA
ENSG00000228590.1	257	lincRNA
ENSG00000228623.3	328	lincRNA
ENSG00000228634.1	362	lincRNA
ENSG00000228639.5	304	lincRNA
ENSG00000228784.6	365	lincRNA
ENSG00000228817.4	265	lincRNA
ENSG00000228857.2	582	lincRNA
ENSG00000228873.1	206	lincRNA
ENSG00000228886.1	332	lincRNA
ENSG00000228889.5	571	lincRNA
ENSG00000228906.1	604	lincRNA
ENSG00000229140.7	239	lincRNA
ENSG00000229180.5	874	lincRNA
ENSG00000229481.2	210	lincRNA
ENSG00000229484.1	185	lincRNA
ENSG00000229646.2	414	lincRNA
ENSG00000229671.1	700	lincRNA
ENSG00000229729.5	1120	lincRNA
ENSG00000229792.1	174	lincRNA
ENSG00000229807.8	801	lincRNA
ENSG00000229891.1	279	lincRNA
ENSG00000229896.2	233	lincRNA
ENSG00000229964.1	212	lincRNA
ENSG00000229989.3	421	lincRNA
ENSG00000230107.1	414	lincRNA
ENSG00000230138.1	563	lincRNA
ENSG00000230415.1	410	lincRNA
ENSG00000230438.6	899	lincRNA
ENSG00000230454.1	340	lincRNA
ENSG00000230487.6	738	lincRNA
ENSG00000230499.1	157	lincRNA
ENSG00000230537.1	323	lincRNA
ENSG00000230542.4	249	lincRNA
ENSG00000230555.2	928	lincRNA
ENSG00000230569.1	155	lincRNA
ENSG00000230590.6	341	lincRNA
ENSG00000230699.2	182	lincRNA
ENSG00000230709.1	155	lincRNA
ENSG00000230724.8	164	lincRNA
ENSG00000230733.2	1235	lincRNA
ENSG00000230736.2	226	lincRNA
ENSG00000230812.4	320	lincRNA
ENSG00000230838.1	569	lincRNA
ENSG00000230839.1	155	lincRNA
ENSG00000230844.2	1272	lincRNA
ENSG00000230939.1	228	lincRNA
ENSG00000230943.1	256	lincRNA
ENSG00000230969.2	177	lincRNA
ENSG00000230978.1	223	lincRNA
ENSG00000231010.1	217	lincRNA
ENSG00000231081.1	165	lincRNA
ENSG00000231106.2	356	lincRNA
ENSG00000231265.1	192	lincRNA
ENSG00000231327.1	463	lincRNA
ENSG00000231346.4	394	lincRNA
ENSG00000231367.4	162	lincRNA
ENSG00000231412.2	232	lincRNA
ENSG00000231439.4	390	lincRNA
ENSG00000231485.1	289	lincRNA
ENSG00000231507.1	574	lincRNA
ENSG00000231535.4	232	lincRNA
ENSG00000231551.5	613	lincRNA
ENSG00000231566.1	228	lincRNA
ENSG00000231681.1	267	lincRNA
ENSG00000231705.1	278	lincRNA
ENSG00000231826.4	173	lincRNA
ENSG00000231829.2	176	lincRNA
ENSG00000232098.3	1151	lincRNA
ENSG00000232104.3	468	lincRNA
ENSG00000232118.2	296	lincRNA
ENSG00000232229.4	303	lincRNA
ENSG00000232324.1	294	lincRNA
ENSG00000232386.8	169	lincRNA
ENSG00000232412.1	651	lincRNA
ENSG00000232470.1	823	lincRNA
ENSG00000232504.4	253	lincRNA
ENSG00000232591.1	355	lincRNA
ENSG00000232593.5	362	lincRNA
ENSG00000232611.1	264	lincRNA
ENSG00000232618.1	234	lincRNA
ENSG00000232638.1	230	lincRNA
ENSG00000232645.4	465	lincRNA
ENSG00000232677.5	1194	lincRNA
ENSG00000232679.1	222	lincRNA
ENSG00000232931.4	1396	lincRNA
ENSG00000232956.7	1531	lincRNA
ENSG00000233056.2	211	lincRNA
ENSG00000233236.1	258	lincRNA
ENSG00000233237.5	189	lincRNA
ENSG00000233261.2	381	lincRNA
ENSG00000233538.1	363	lincRNA
ENSG00000233559.1	281	lincRNA
ENSG00000233730.1	260	lincRNA
ENSG00000233791.4	159	lincRNA
ENSG00000233864.6	454	lincRNA
ENSG00000233895.1	177	lincRNA
ENSG00000233901.4	925	lincRNA
ENSG00000233903.2	1025	lincRNA
ENSG00000233922.2	205	lincRNA
ENSG00000233967.5	337	lincRNA
ENSG00000234076.1	196	lincRNA
ENSG00000234147.1	337	lincRNA
ENSG00000234184.4	200	lincRNA
ENSG00000234248.1	186	lincRNA
ENSG00000234390.4	174	lincRNA
ENSG00000234432.4	387	lincRNA
ENSG00000234449.2	255	lincRNA
ENSG00000234506.4	399	lincRNA
ENSG00000234535.1	171	lincRNA
ENSG00000234546.2	372	lincRNA
ENSG00000234572.1	172	lincRNA
ENSG00000234608.6	1528	lincRNA
ENSG00000234630.1	673	lincRNA
ENSG00000234689.1	224	lincRNA
ENSG00000234773.5	208	lincRNA
ENSG00000234883.3	1141	lincRNA
ENSG00000234917.2	300	lincRNA
ENSG00000234918.1	354	lincRNA
ENSG00000235072.2	231	lincRNA
ENSG00000235119.1	277	lincRNA
ENSG00000235151.1	419	lincRNA
ENSG00000235159.1	252	lincRNA
ENSG00000235192.1	322	lincRNA
ENSG00000235314.1	935	lincRNA
ENSG00000235319.1	257	lincRNA
ENSG00000235475.1	755	lincRNA
ENSG00000235499.1	967	lincRNA
ENSG00000235576.1	988	lincRNA
ENSG00000235584.2	330	lincRNA
ENSG00000235609.7	280	lincRNA
ENSG00000235620.1	239	lincRNA
ENSG00000235621.7	335	lincRNA
ENSG00000235687.7	360	lincRNA
ENSG00000235823.1	1049	lincRNA
ENSG00000235888.1	300	lincRNA
ENSG00000235947.1	458	lincRNA
ENSG00000236028.1	159	lincRNA
ENSG00000236039.1	343	lincRNA
ENSG00000236066.4	284	lincRNA
ENSG00000236081.1	256	lincRNA
ENSG00000236255.1	259	lincRNA
ENSG00000236453.4	198	lincRNA
ENSG00000236481.1	343	lincRNA
ENSG00000236682.1	521	lincRNA
ENSG00000236824.1	169	lincRNA
ENSG00000236871.5	1066	lincRNA
ENSG00000236894.2	252	lincRNA
ENSG00000237248.4	555	lincRNA
ENSG00000237310.1	1395	lincRNA
ENSG00000237359.1	172	lincRNA
ENSG00000237361.2	464	lincRNA
ENSG00000237422.1	235	lincRNA
ENSG00000237438.5	680	lincRNA
ENSG00000237476.1	668	lincRNA
ENSG00000237489.2	352	lincRNA
ENSG00000237491.7	210	lincRNA
ENSG00000237513.1	975	lincRNA
ENSG00000237520.1	296	lincRNA
ENSG00000237614.1	174	lincRNA
ENSG00000237638.1	206	lincRNA
ENSG00000237721.1	290	lincRNA
ENSG00000237753.1	713	lincRNA
ENSG00000237772.1	239	lincRNA
ENSG00000237797.1	386	lincRNA
ENSG00000237807.3	407	lincRNA
ENSG00000237857.2	282	lincRNA
ENSG00000237877.5	170	lincRNA
ENSG00000237940.3	780	lincRNA
ENSG00000237989.1	439	lincRNA
ENSG00000238005.2	488	lincRNA
ENSG00000238039.1	448	lincRNA
ENSG00000238113.5	1132	lincRNA
ENSG00000238121.4	811	lincRNA
ENSG00000238142.1	1281	lincRNA
ENSG00000239407.4	354	lincRNA
ENSG00000239467.4	543	lincRNA
ENSG00000239946.1	198	lincRNA
ENSG00000240040.4	179	lincRNA
ENSG00000240219.1	581	lincRNA
ENSG00000240350.2	496	lincRNA
ENSG00000240618.1	466	lincRNA
ENSG00000240859.1	452	lincRNA
ENSG00000240875.4	238	lincRNA
ENSG00000241163.6	381	lincRNA
ENSG00000241169.1	284	lincRNA
ENSG00000241657.1	556	lincRNA
ENSG00000241954.1	200	lincRNA
ENSG00000242086.7	775	lincRNA
ENSG00000242258.1	573	lincRNA
ENSG00000242282.5	722	lincRNA
ENSG00000242290.2	155	lincRNA
ENSG00000242375.1	291	lincRNA
ENSG00000242516.1	179	lincRNA
ENSG00000242553.1	416	lincRNA
ENSG00000242622.1	257	lincRNA
ENSG00000242659.1	371	lincRNA
ENSG00000242767.1	168	lincRNA
ENSG00000243350.1	238	lincRNA
ENSG00000243479.3	272	lincRNA
ENSG00000243701.4	561	lincRNA
ENSG00000244041.6	546	lincRNA
ENSG00000244063.1	265	lincRNA
ENSG00000244219.5	166	lincRNA
ENSG00000244459.2	1041	lincRNA
ENSG00000244567.1	1424	lincRNA
ENSG00000244620.1	424	lincRNA
ENSG00000244625.4	1020	lincRNA
ENSG00000244952.2	174	lincRNA
ENSG00000245060.5	1473	lincRNA
ENSG00000245149.3	381	lincRNA
ENSG00000245156.1	369	lincRNA
ENSG00000245164.5	506	lincRNA
ENSG00000245317.2	640	lincRNA
ENSG00000245532.5	1532	lincRNA
ENSG00000245556.2	1517	lincRNA
ENSG00000245571.5	1162	lincRNA
ENSG00000245694.7	1096	lincRNA
ENSG00000245750.6	229	lincRNA
ENSG00000245812.2	268	lincRNA
ENSG00000245937.6	1405	lincRNA
ENSG00000245954.5	284	lincRNA
