gene_id	score	gene_type
ENSG00000272087.1	0.71585	lincRNA
ENSG00000222041.9	0.715475	lincRNA
ENSG00000272088.1	0.7152	lincRNA
ENSG00000273145.1	0.7152	lincRNA
ENSG00000262089.1	0.715175	lincRNA
ENSG00000260011.2	0.7151	lincRNA
ENSG00000178440.5	0.7149	lincRNA
ENSG00000213888.3	0.7148	lincRNA
ENSG00000273295.1	0.714475	lincRNA
ENSG00000277778.1	0.714375	lincRNA
ENSG00000267212.1	0.714225	lincRNA
ENSG00000236481.1	0.714225	lincRNA
ENSG00000272079.2	0.71415	lincRNA
ENSG00000272564.1	0.713875	lincRNA
ENSG00000260136.4	0.713825	lincRNA
ENSG00000177788.5	0.713625	lincRNA
ENSG00000269949.1	0.713475	lincRNA
ENSG00000273319.1	0.713475	lincRNA
ENSG00000256128.4	0.71295	lincRNA
ENSG00000271771.1	0.712725	lincRNA
ENSG00000268836.1	0.71255	lincRNA
ENSG00000274818.1	0.712325	lincRNA
ENSG00000234506.4	0.7122	lincRNA
ENSG00000226032.1	0.712125	lincRNA
ENSG00000247095.2	0.712075	lincRNA
ENSG00000186594.11	0.711825	lincRNA
ENSG00000258914.1	0.7117	lincRNA
ENSG00000270038.1	0.71145	lincRNA
ENSG00000229964.1	0.7111	lincRNA
ENSG00000244219.5	0.71085	lincRNA
ENSG00000230415.1	0.71085	lincRNA
ENSG00000273759.1	0.71075	lincRNA
ENSG00000267123.4	0.710375	lincRNA
ENSG00000259321.1	0.71015	lincRNA
ENSG00000268615.1	0.709875	lincRNA
ENSG00000273148.1	0.709825	lincRNA
ENSG00000274373.1	0.709725	lincRNA
ENSG00000272361.2	0.70955	lincRNA
ENSG00000272654.1	0.7094	lincRNA
ENSG00000259711.1	0.70925	lincRNA
ENSG00000197180.2	0.709175	lincRNA
ENSG00000273203.1	0.7091	lincRNA
ENSG00000277969.1	0.709025	lincRNA
ENSG00000272733.1	0.70895	lincRNA
ENSG00000230590.6	0.708825	lincRNA
ENSG00000269936.3	0.708625	lincRNA
ENSG00000271855.1	0.7083	lincRNA
ENSG00000273305.1	0.7082	lincRNA
ENSG00000263164.1	0.708175	lincRNA
ENSG00000260896.4	0.70795	lincRNA
ENSG00000263874.1	0.707925	lincRNA
ENSG00000251611.1	0.7078	lincRNA
ENSG00000253395.1	0.7077	lincRNA
ENSG00000223881.1	0.70765	lincRNA
ENSG00000257698.1	0.707175	lincRNA
ENSG00000271788.1	0.7069	lincRNA
ENSG00000237877.5	0.706825	lincRNA
ENSG00000259673.4	0.70675	lincRNA
ENSG00000235947.1	0.706325	lincRNA
ENSG00000260306.1	0.7063	lincRNA
ENSG00000238005.2	0.7063	lincRNA
ENSG00000240040.4	0.7062	lincRNA
ENSG00000228889.5	0.706175	lincRNA
ENSG00000254343.2	0.70615	lincRNA
ENSG00000271151.1	0.705975	lincRNA
ENSG00000226853.2	0.70595	lincRNA
ENSG00000273615.1	0.705875	lincRNA
ENSG00000272416.1	0.705825	lincRNA
ENSG00000255774.1	0.7054	lincRNA
ENSG00000272622.1	0.7053	lincRNA
ENSG00000203364.2	0.705275	lincRNA
ENSG00000261218.4	0.705125	lincRNA
ENSG00000227051.5	0.704925	lincRNA
ENSG00000275964.1	0.7049	lincRNA
ENSG00000274245.1	0.7049	lincRNA
ENSG00000273008.1	0.7047	lincRNA
ENSG00000228386.2	0.704675	lincRNA
ENSG00000236039.1	0.7045	lincRNA
ENSG00000277369.1	0.70435	lincRNA
ENSG00000224648.1	0.704175	lincRNA
ENSG00000214650.2	0.704075	lincRNA
ENSG00000261996.1	0.70405	lincRNA
ENSG00000227373.4	0.703875	lincRNA
ENSG00000255455.2	0.703775	lincRNA
ENSG00000257654.1	0.70345	lincRNA
ENSG00000269220.1	0.702975	lincRNA
ENSG00000266897.1	0.7028	lincRNA
ENSG00000272524.1	0.702775	lincRNA
ENSG00000272406.1	0.702675	lincRNA
ENSG00000269946.1	0.702425	lincRNA
ENSG00000223946.1	0.702375	lincRNA
ENSG00000273399.2	0.7022	lincRNA
ENSG00000260032.1	0.701475	lincRNA
ENSG00000253364.1	0.70145	lincRNA
ENSG00000267583.4	0.7014	lincRNA
ENSG00000265519.1	0.7014	lincRNA
ENSG00000271952.1	0.701325	lincRNA
ENSG00000261087.1	0.701275	lincRNA
ENSG00000223546.5	0.70095	lincRNA
ENSG00000272128.1	0.70095	lincRNA
ENSG00000274020.1	0.7009	lincRNA
ENSG00000278668.1	0.700725	lincRNA
ENSG00000231566.1	0.700625	lincRNA
ENSG00000259976.1	0.700525	lincRNA
ENSG00000270164.1	0.7004	lincRNA
ENSG00000253926.1	0.7004	lincRNA
ENSG00000275409.1	0.700225	lincRNA
ENSG00000255135.3	0.7	lincRNA
ENSG00000250742.1	0.69965	lincRNA
ENSG00000255121.2	0.699625	lincRNA
ENSG00000249685.1	0.699525	lincRNA
ENSG00000269978.1	0.699475	lincRNA
ENSG00000254263.1	0.69935	lincRNA
ENSG00000232229.4	0.69925	lincRNA
ENSG00000265750.1	0.6992	lincRNA
ENSG00000267373.1	0.6992	lincRNA
ENSG00000253633.1	0.699	lincRNA
ENSG00000228037.1	0.699	lincRNA
ENSG00000267259.1	0.698875	lincRNA
ENSG00000250057.1	0.698875	lincRNA
ENSG00000223401.1	0.69885	lincRNA
ENSG00000260193.1	0.6988	lincRNA
ENSG00000281404.1	0.6986	lincRNA
ENSG00000262772.1	0.6986	lincRNA
ENSG00000225783.5	0.69835	lincRNA
ENSG00000226067.5	0.698325	lincRNA
ENSG00000259004.1	0.6983	lincRNA
ENSG00000272799.1	0.698175	lincRNA
ENSG00000260563.3	0.698075	lincRNA
ENSG00000270659.1	0.697975	lincRNA
ENSG00000254177.1	0.697375	lincRNA
ENSG00000267414.1	0.69735	lincRNA
ENSG00000267397.1	0.6973	lincRNA
ENSG00000246095.2	0.697175	lincRNA
ENSG00000241657.1	0.6971	lincRNA
ENSG00000280224.1	0.6967	lincRNA
ENSG00000227740.1	0.696675	lincRNA
ENSG00000215908.6	0.69665	lincRNA
ENSG00000272644.1	0.696425	lincRNA
ENSG00000260417.1	0.69635	lincRNA
ENSG00000281181.1	0.696125	lincRNA
ENSG00000267107.5	0.6961	lincRNA
ENSG00000273356.1	0.696075	lincRNA
ENSG00000251301.5	0.6959	lincRNA
ENSG00000279597.1	0.69585	lincRNA
ENSG00000244041.6	0.695575	lincRNA
ENSG00000260259.1	0.695075	lincRNA
ENSG00000258301.3	0.69505	lincRNA
ENSG00000205664.9	0.694925	lincRNA
ENSG00000261064.1	0.69485	lincRNA
ENSG00000223749.6	0.694675	lincRNA
ENSG00000224187.1	0.694575	lincRNA
ENSG00000269930.1	0.694225	lincRNA
ENSG00000272168.4	0.694125	lincRNA
ENSG00000263321.1	0.694125	lincRNA
ENSG00000264016.2	0.694075	lincRNA
ENSG00000272894.4	0.69385	lincRNA
ENSG00000259363.4	0.69375	lincRNA
ENSG00000271020.1	0.693725	lincRNA
ENSG00000230978.1	0.6937	lincRNA
ENSG00000244063.1	0.693675	lincRNA
ENSG00000273702.1	0.693575	lincRNA
ENSG00000249790.2	0.69345	lincRNA
ENSG00000229807.8	0.69335	lincRNA
ENSG00000261474.1	0.69315	lincRNA
ENSG00000183250.10	0.6931	lincRNA
ENSG00000275764.1	0.693075	lincRNA
ENSG00000274225.1	0.693025	lincRNA
ENSG00000271204.1	0.69285	lincRNA
ENSG00000270030.1	0.69275	lincRNA
ENSG00000267002.1	0.692175	lincRNA
ENSG00000272468.1	0.691775	lincRNA
ENSG00000251136.7	0.69175	lincRNA
ENSG00000260558.1	0.691525	lincRNA
ENSG00000237476.1	0.6915	lincRNA
ENSG00000254006.4	0.6913	lincRNA
ENSG00000180066.8	0.691225	lincRNA
ENSG00000279873.2	0.6909	lincRNA
ENSG00000273424.1	0.6907	lincRNA
ENSG00000262837.1	0.69065	lincRNA
ENSG00000245156.1	0.690575	lincRNA
ENSG00000278816.1	0.6904	lincRNA
ENSG00000278847.1	0.6904	lincRNA
ENSG00000273004.1	0.6899	lincRNA
ENSG00000269902.1	0.689675	lincRNA
ENSG00000259807.1	0.68965	lincRNA
ENSG00000257526.2	0.689625	lincRNA
ENSG00000245532.5	0.689475	lincRNA
ENSG00000269646.1	0.68945	lincRNA
ENSG00000266538.1	0.689425	lincRNA
ENSG00000267004.1	0.689125	lincRNA
ENSG00000180712.3	0.689025	lincRNA
ENSG00000260091.1	0.6887	lincRNA
ENSG00000273245.1	0.688675	lincRNA
ENSG00000245317.2	0.6886	lincRNA
ENSG00000274251.1	0.6885	lincRNA
ENSG00000198590.10	0.688475	lincRNA
ENSG00000267114.1	0.688425	lincRNA
ENSG00000263050.1	0.687425	lincRNA
ENSG00000230943.1	0.687225	lincRNA
ENSG00000260698.1	0.687175	lincRNA
ENSG00000272871.1	0.687075	lincRNA
ENSG00000236028.1	0.686825	lincRNA
ENSG00000225285.1	0.686625	lincRNA
ENSG00000235192.1	0.686425	lincRNA
ENSG00000224977.1	0.686375	lincRNA
ENSG00000267152.1	0.68635	lincRNA
ENSG00000251381.5	0.686275	lincRNA
ENSG00000273796.1	0.686225	lincRNA
ENSG00000261512.2	0.686175	lincRNA
ENSG00000226266.5	0.686	lincRNA
ENSG00000261386.2	0.68585	lincRNA
ENSG00000266111.2	0.68575	lincRNA
ENSG00000273175.1	0.685675	lincRNA
ENSG00000248161.4	0.685675	lincRNA
ENSG00000257496.1	0.685625	lincRNA
ENSG00000232591.1	0.685625	lincRNA
ENSG00000272953.1	0.6856	lincRNA
ENSG00000270076.1	0.68535	lincRNA
ENSG00000260077.1	0.68535	lincRNA
ENSG00000257354.2	0.685275	lincRNA
ENSG00000275180.1	0.685225	lincRNA
ENSG00000272141.1	0.685175	lincRNA
ENSG00000272129.1	0.6851	lincRNA
ENSG00000234572.1	0.685075	lincRNA
ENSG00000256039.1	0.685	lincRNA
ENSG00000226380.6	0.6849	lincRNA
ENSG00000228423.2	0.6848	lincRNA
ENSG00000272523.1	0.684775	lincRNA
ENSG00000225975.5	0.684625	lincRNA
ENSG00000269893.5	0.68445	lincRNA
ENSG00000270091.1	0.68445	lincRNA
ENSG00000234773.5	0.68435	lincRNA
ENSG00000272555.1	0.684325	lincRNA
ENSG00000259499.1	0.684275	lincRNA
ENSG00000278611.1	0.6842	lincRNA
ENSG00000214870.7	0.684125	lincRNA
ENSG00000196741.5	0.684075	lincRNA
ENSG00000253768.1	0.684075	lincRNA
ENSG00000253263.1	0.683975	lincRNA
ENSG00000231507.1	0.683925	lincRNA
ENSG00000275542.1	0.68385	lincRNA
ENSG00000254531.1	0.68375	lincRNA
ENSG00000273015.2	0.683675	lincRNA
ENSG00000245060.5	0.68365	lincRNA
ENSG00000268555.1	0.68365	lincRNA
ENSG00000271850.1	0.683625	lincRNA
ENSG00000271553.1	0.683575	lincRNA
ENSG00000254060.1	0.68355	lincRNA
ENSG00000245954.5	0.6835	lincRNA
ENSG00000270069.1	0.683225	lincRNA
ENSG00000234917.2	0.68315	lincRNA
ENSG00000280798.1	0.68285	lincRNA
ENSG00000225742.4	0.682775	lincRNA
ENSG00000272933.1	0.68255	lincRNA
ENSG00000267194.1	0.68245	lincRNA
ENSG00000232504.4	0.682425	lincRNA
ENSG00000268362.4	0.682225	lincRNA
ENSG00000272360.1	0.682125	lincRNA
ENSG00000239946.1	0.68205	lincRNA
ENSG00000226197.2	0.68195	lincRNA
ENSG00000204792.2	0.681875	lincRNA
ENSG00000272086.1	0.68185	lincRNA
ENSG00000215244.2	0.681825	lincRNA
ENSG00000275294.3	0.681675	lincRNA
ENSG00000227531.1	0.681625	lincRNA
ENSG00000272650.1	0.681575	lincRNA
ENSG00000264520.1	0.681475	lincRNA
ENSG00000273472.1	0.681325	lincRNA
ENSG00000273117.1	0.6813	lincRNA
ENSG00000267649.1	0.68125	lincRNA
ENSG00000275720.1	0.681225	lincRNA
ENSG00000270147.1	0.681075	lincRNA
ENSG00000230733.2	0.68105	lincRNA
ENSG00000228886.1	0.681025	lincRNA
ENSG00000267108.1	0.680975	lincRNA
ENSG00000230569.1	0.6807	lincRNA
ENSG00000267416.1	0.6807	lincRNA
ENSG00000237361.2	0.68055	lincRNA
ENSG00000258534.1	0.680375	lincRNA
ENSG00000256742.1	0.68035	lincRNA
ENSG00000224652.1	0.68	lincRNA
ENSG00000266651.1	0.68	lincRNA
ENSG00000229671.1	0.67995	lincRNA
ENSG00000258667.1	0.67995	lincRNA
ENSG00000263753.5	0.67985	lincRNA
ENSG00000268205.1	0.679425	lincRNA
ENSG00000280560.1	0.6794	lincRNA
ENSG00000253948.1	0.6794	lincRNA
ENSG00000237638.1	0.679275	lincRNA
ENSG00000272192.1	0.67925	lincRNA
ENSG00000230724.8	0.67925	lincRNA
ENSG00000231367.4	0.679175	lincRNA
ENSG00000236824.1	0.6791	lincRNA
ENSG00000225231.1	0.6789	lincRNA
ENSG00000266389.1	0.678625	lincRNA
ENSG00000272382.1	0.678625	lincRNA
ENSG00000269640.4	0.678575	lincRNA
ENSG00000267547.1	0.67855	lincRNA
ENSG00000213062.4	0.67855	lincRNA
ENSG00000253140.1	0.678525	lincRNA
ENSG00000271869.1	0.67835	lincRNA
ENSG00000261068.2	0.678025	lincRNA
ENSG00000173727.10	0.678	lincRNA
ENSG00000237513.1	0.677925	lincRNA
ENSG00000250635.1	0.677725	lincRNA
ENSG00000230542.4	0.677675	lincRNA
ENSG00000274925.1	0.6776	lincRNA
ENSG00000272375.1	0.677575	lincRNA
ENSG00000242767.1	0.6775	lincRNA
ENSG00000233730.1	0.677475	lincRNA
ENSG00000227946.1	0.67715	lincRNA
ENSG00000261098.1	0.6768	lincRNA
ENSG00000274922.1	0.676725	lincRNA
ENSG00000226029.1	0.6767	lincRNA
ENSG00000274265.3	0.6764	lincRNA
ENSG00000273107.1	0.6764	lincRNA
ENSG00000274191.1	0.67615	lincRNA
ENSG00000225039.1	0.676075	lincRNA
ENSG00000259590.1	0.67595	lincRNA
ENSG00000278276.1	0.675825	lincRNA
ENSG00000268751.1	0.675725	lincRNA
ENSG00000271646.1	0.6757	lincRNA
ENSG00000250378.1	0.675625	lincRNA
ENSG00000235620.1	0.67545	lincRNA
ENSG00000254615.2	0.675425	lincRNA
ENSG00000272482.1	0.67525	lincRNA
ENSG00000254538.1	0.6752	lincRNA
ENSG00000228634.1	0.675175	lincRNA
ENSG00000276071.1	0.675025	lincRNA
ENSG00000239407.4	0.674975	lincRNA
ENSG00000242516.1	0.6749	lincRNA
ENSG00000235499.1	0.6747	lincRNA
ENSG00000273972.1	0.6747	lincRNA
ENSG00000269483.1	0.674575	lincRNA
ENSG00000268307.1	0.674475	lincRNA
ENSG00000267898.1	0.674375	lincRNA
ENSG00000228906.1	0.674375	lincRNA
ENSG00000271888.1	0.6743	lincRNA
ENSG00000260274.1	0.6742	lincRNA
ENSG00000205791.3	0.674125	lincRNA
ENSG00000260646.1	0.6739	lincRNA
ENSG00000203499.9	0.673725	lincRNA
ENSG00000275106.1	0.673625	lincRNA
ENSG00000269947.1	0.673275	lincRNA
ENSG00000259459.4	0.67325	lincRNA
ENSG00000271643.1	0.67325	lincRNA
ENSG00000261000.1	0.6732	lincRNA
ENSG00000272459.1	0.673	lincRNA
ENSG00000245937.6	0.67275	lincRNA
ENSG00000259658.3	0.672675	lincRNA
ENSG00000231439.4	0.6726	lincRNA
ENSG00000255198.4	0.67255	lincRNA
ENSG00000276136.1	0.67255	lincRNA
ENSG00000272092.1	0.67245	lincRNA
ENSG00000271914.1	0.672275	lincRNA
ENSG00000272142.1	0.67225	lincRNA
ENSG00000260911.2	0.672225	lincRNA
ENSG00000272787.1	0.672225	lincRNA
ENSG00000271815.1	0.67205	lincRNA
ENSG00000268945.1	0.67205	lincRNA
ENSG00000232324.1	0.6719	lincRNA
ENSG00000274840.3	0.6717	lincRNA
ENSG00000269974.1	0.6715	lincRNA
ENSG00000260710.1	0.671425	lincRNA
ENSG00000275119.1	0.671425	lincRNA
ENSG00000269967.1	0.671325	lincRNA
ENSG00000237797.1	0.671175	lincRNA
ENSG00000281357.1	0.671125	lincRNA
ENSG00000245164.5	0.6711	lincRNA
ENSG00000270177.1	0.67095	lincRNA
ENSG00000263990.1	0.6709	lincRNA
ENSG00000269921.1	0.670775	lincRNA
ENSG00000234449.2	0.67065	lincRNA
ENSG00000269399.2	0.670625	lincRNA
ENSG00000277559.1	0.670525	lincRNA
ENSG00000273143.1	0.6704	lincRNA
ENSG00000261039.2	0.6701	lincRNA
ENSG00000271742.1	0.67005	lincRNA
ENSG00000278765.1	0.67005	lincRNA
ENSG00000256973.1	0.67	lincRNA
ENSG00000229180.5	0.669725	lincRNA
ENSG00000275484.1	0.669625	lincRNA
ENSG00000272911.1	0.669475	lincRNA
ENSG00000272334.1	0.669275	lincRNA
ENSG00000272335.1	0.6692	lincRNA
ENSG00000272374.1	0.6691	lincRNA
ENSG00000272112.1	0.668975	lincRNA
ENSG00000272630.1	0.6689	lincRNA
ENSG00000273650.1	0.66885	lincRNA
ENSG00000264112.1	0.66875	lincRNA
ENSG00000251230.4	0.6686	lincRNA
ENSG00000242622.1	0.668575	lincRNA
ENSG00000272777.1	0.66845	lincRNA
ENSG00000272040.1	0.668425	lincRNA
ENSG00000272711.1	0.6684	lincRNA
ENSG00000271367.1	0.66825	lincRNA
ENSG00000281912.1	0.6681	lincRNA
ENSG00000276791.1	0.668	lincRNA
ENSG00000255571.5	0.667925	lincRNA
ENSG00000277782.1	0.6679	lincRNA
ENSG00000203684.5	0.667775	lincRNA
ENSG00000249096.5	0.6677	lincRNA
ENSG00000232386.8	0.66765	lincRNA
ENSG00000233967.5	0.66735	lincRNA
ENSG00000223511.4	0.6673	lincRNA
ENSG00000256806.3	0.66725	lincRNA
ENSG00000259448.2	0.66725	lincRNA
ENSG00000181908.5	0.667225	lincRNA
ENSG00000256537.3	0.667225	lincRNA
ENSG00000268392.1	0.667075	lincRNA
ENSG00000266088.4	0.667025	lincRNA
ENSG00000274712.1	0.666675	lincRNA
ENSG00000268734.1	0.6666	lincRNA
ENSG00000267453.5	0.666525	lincRNA
ENSG00000230839.1	0.66645	lincRNA
ENSG00000251580.1	0.6662	lincRNA
ENSG00000179523.4	0.665925	lincRNA
ENSG00000272667.1	0.6659	lincRNA
ENSG00000274341.1	0.665875	lincRNA
ENSG00000271973.1	0.66585	lincRNA
ENSG00000277218.1	0.665725	lincRNA
ENSG00000224635.1	0.665725	lincRNA
ENSG00000188185.10	0.665425	lincRNA
ENSG00000272849.1	0.66535	lincRNA
ENSG00000272343.1	0.6652	lincRNA
ENSG00000230555.2	0.665075	lincRNA
ENSG00000269900.3	0.665025	lincRNA
ENSG00000235475.1	0.664925	lincRNA
ENSG00000233559.1	0.66485	lincRNA
ENSG00000253522.3	0.6647	lincRNA
ENSG00000205056.8	0.66465	lincRNA
ENSG00000153363.11	0.6646	lincRNA
ENSG00000231826.4	0.664525	lincRNA
ENSG00000231106.2	0.6645	lincRNA
ENSG00000263655.1	0.6645	lincRNA
ENSG00000253720.1	0.6645	lincRNA
ENSG00000230107.1	0.664475	lincRNA
ENSG00000276814.1	0.664225	lincRNA
ENSG00000272994.1	0.664075	lincRNA
ENSG00000224914.2	0.664075	lincRNA
ENSG00000272455.1	0.664025	lincRNA
ENSG00000251417.2	0.664025	lincRNA
ENSG00000273582.1	0.664	lincRNA
ENSG00000228139.1	0.66385	lincRNA
ENSG00000260807.5	0.66385	lincRNA
ENSG00000231265.1	0.663825	lincRNA
ENSG00000264247.1	0.6638	lincRNA
ENSG00000271576.1	0.663725	lincRNA
ENSG00000260025.1	0.663725	lincRNA
ENSG00000274029.1	0.6634	lincRNA
ENSG00000250786.1	0.663375	lincRNA
ENSG00000267521.1	0.6633	lincRNA
ENSG00000278238.1	0.663275	lincRNA
ENSG00000271427.1	0.663275	lincRNA
ENSG00000235319.1	0.6631	lincRNA
ENSG00000253641.4	0.66295	lincRNA
ENSG00000273265.1	0.662875	lincRNA
ENSG00000212694.7	0.662675	lincRNA
ENSG00000273341.1	0.66265	lincRNA
ENSG00000226453.1	0.66265	lincRNA
ENSG00000230939.1	0.662575	lincRNA
ENSG00000272716.1	0.662475	lincRNA
ENSG00000272906.1	0.66245	lincRNA
ENSG00000234184.4	0.6624	lincRNA
ENSG00000272144.1	0.6623	lincRNA
ENSG00000259042.2	0.662225	lincRNA
ENSG00000270127.2	0.662075	lincRNA
ENSG00000273230.1	0.662075	lincRNA
ENSG00000255362.1	0.661775	lincRNA
ENSG00000276216.1	0.66175	lincRNA
ENSG00000197182.11	0.661725	lincRNA
ENSG00000260219.2	0.66165	lincRNA
ENSG00000262155.1	0.6616	lincRNA
ENSG00000271420.1	0.66155	lincRNA
ENSG00000266912.1	0.661375	lincRNA
ENSG00000240350.2	0.661225	lincRNA
ENSG00000262477.1	0.6612	lincRNA
ENSG00000270761.1	0.661075	lincRNA
ENSG00000263105.1	0.66105	lincRNA
ENSG00000275479.1	0.66095	lincRNA
ENSG00000197308.7	0.6609	lincRNA
ENSG00000203386.5	0.66085	lincRNA
ENSG00000234147.1	0.66055	lincRNA
ENSG00000224259.4	0.66045	lincRNA
ENSG00000226363.3	0.660425	lincRNA
ENSG00000254164.1	0.660075	lincRNA
ENSG00000248489.1	0.659625	lincRNA
ENSG00000227516.1	0.6595	lincRNA
ENSG00000225750.1	0.659425	lincRNA
