gene_id	score	gene_type
ENSG00000177989.12	3.157055902	protein_coding
ENSG00000165533.17	3.15638646	protein_coding
ENSG00000171466.8	3.153547408	protein_coding
ENSG00000182329.9	3.149960044	protein_coding
ENSG00000197757.7	3.149278066	protein_coding
ENSG00000185053.11	3.148354845	protein_coding
ENSG00000166211.7	3.147819511	protein_coding
ENSG00000214285.2	3.145931059	protein_coding
ENSG00000178343.4	3.145629867	protein_coding
ENSG00000160683.4	3.144705654	protein_coding
ENSG00000162496.7	3.142187926	protein_coding
ENSG00000181856.13	3.14163604	protein_coding
ENSG00000162733.15	3.141386308	protein_coding
ENSG00000064218.4	3.140617584	protein_coding
ENSG00000158528.10	3.139969888	protein_coding
ENSG00000127328.20	3.139835456	protein_coding
ENSG00000187323.10	3.13948131	protein_coding
ENSG00000196747.4	3.139472436	protein_coding
ENSG00000179776.16	3.139279891	protein_coding
ENSG00000138802.10	3.138937388	protein_coding
ENSG00000145692.13	3.136505798	protein_coding
ENSG00000182866.15	3.136041504	protein_coding
ENSG00000165138.15	3.135659919	protein_coding
ENSG00000147459.16	3.13494849	protein_coding
ENSG00000141200.7	3.134076703	protein_coding
ENSG00000275713.1	3.133371536	protein_coding
ENSG00000134575.8	3.130748494	protein_coding
ENSG00000165030.3	3.130530873	protein_coding
ENSG00000124469.9	3.129611218	protein_coding
ENSG00000099795.5	3.128958862	protein_coding
ENSG00000147082.16	3.128890355	protein_coding
ENSG00000164530.12	3.127450189	protein_coding
ENSG00000132514.12	3.125561225	protein_coding
ENSG00000165392.8	3.123744056	protein_coding
ENSG00000161010.13	3.123362823	protein_coding
ENSG00000051596.8	3.122697401	protein_coding
ENSG00000134594.4	3.119911063	protein_coding
ENSG00000156876.9	3.119696261	protein_coding
ENSG00000138615.5	3.117790452	protein_coding
ENSG00000138381.8	3.11773549	protein_coding
ENSG00000144233.8	3.117605999	protein_coding
ENSG00000168032.7	3.115080258	protein_coding
ENSG00000187391.16	3.114078799	protein_coding
ENSG00000215029.7	3.112158159	protein_coding
ENSG00000120256.8	3.111932598	protein_coding
ENSG00000198556.12	3.111697566	protein_coding
ENSG00000126790.10	3.111049381	protein_coding
ENSG00000088305.17	3.110650325	protein_coding
ENSG00000169676.5	3.110121314	protein_coding
ENSG00000176771.14	3.109488042	protein_coding
ENSG00000279654.1	3.107948115	protein_coding
ENSG00000158055.14	3.106102751	protein_coding
ENSG00000117868.14	3.102875438	protein_coding
ENSG00000167261.12	3.101640448	protein_coding
ENSG00000214087.7	3.101478286	protein_coding
ENSG00000138646.7	3.09952272	protein_coding
ENSG00000104783.10	3.098461227	protein_coding
ENSG00000162897.13	3.096812637	protein_coding
ENSG00000168070.10	3.096305635	protein_coding
ENSG00000139842.13	3.095084354	protein_coding
ENSG00000142230.10	3.094252819	protein_coding
ENSG00000162736.14	3.093546054	protein_coding
ENSG00000137090.10	3.092586942	protein_coding
ENSG00000029559.6	3.092450397	protein_coding
ENSG00000148399.10	3.090465415	protein_coding
